CustomerID,LookalikeID,SimilarityScore
C0001,C0164,0.9752818191639645
C0001,C0072,0.9675757597903974
C0001,C0152,0.9651275826949585
C0002,C0031,0.9747235250796282
C0002,C0010,0.9556640510415025
C0002,C0029,0.9397401434926224
C0003,C0125,0.9769129585388702
C0003,C0052,0.9694453417499351
C0003,C0192,0.9151655620306905
C0004,C0101,0.9773996977772758
C0004,C0068,0.9467041112573095
C0004,C0017,0.9231283924995805
C0005,C0036,0.9852090712748718
C0005,C0042,0.9628931949879194
C0005,C0186,0.9616437863304802
C0006,C0026,0.9393204720623087
C0006,C0158,0.9221657141574265
C0006,C0168,0.9176645670857113
C0007,C0120,0.9539991203116002
C0007,C0185,0.9251312549438039
C0007,C0074,0.919771153016567
C0008,C0084,0.9080406390039714
C0008,C0147,0.8609196269233085
C0008,C0075,0.8473470856008065
C0009,C0077,0.9423315595181976
C0009,C0043,0.939099955227976
C0009,C0186,0.9189595473091027
C0010,C0031,0.9661222244369554
C0010,C0002,0.9556640510415025
C0010,C0094,0.9418833455303595
C0011,C0137,0.9634541570753515
C0011,C0056,0.9508859754887745
C0011,C0048,0.944035824547421
C0012,C0122,0.97608037040875
C0012,C0051,0.9528726249712578
C0012,C0143,0.9271513827265764
C0013,C0155,0.9408816908669353
C0013,C0046,0.8979719846242549
C0013,C0104,0.8976825219565863
C0014,C0058,0.9595146636183234
C0014,C0020,0.9380974445011895
C0014,C0110,0.9327771444970383
C0015,C0095,0.973088433196397
C0015,C0063,0.972324521662149
C0015,C0198,0.9576270520855136
C0016,C0183,0.9914550163410746
C0016,C0001,0.9488953296421161
C0016,C0107,0.9454464008479688
C0017,C0113,0.9877797828207401
C0017,C0162,0.9598753119090644
C0017,C0004,0.9231283924995805
C0018,C0149,0.9256338914572088
C0018,C0170,0.8995204894345409
C0018,C0079,0.8989724379602813
C0019,C0172,0.962639818664671
C0019,C0116,0.9437915655944944
C0019,C0034,0.9144781385395391
C0020,C0058,0.9520550473417745
C0020,C0014,0.9380974445011895
C0020,C0110,0.9303919249135475
